device,num
HEART START XL,193
SUMMIT DUOFIX TAP SZ4 STD OFF,194
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,195
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,196
PROCEED VENTRAL PATCH,197
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,198
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,199
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,200
PERCLOSE PROGLIDE 6F SUTURE MEDIATED CLOSURE (SMC) SYSTEM,201
VERIFY,202
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,203
HEARTSTART MRX -EMS DEFIBRILLATOR,204
"CARBON STEEL BLADE, #15",205
ONX AORTIC ANATOMIC EXT 19,206
INTERSTIM II,207
INTERSTIM II,208
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,209
VERIFY,210
ENDO GIA ULTRA,211
FT3 III - FREE TRIIODOTHYRONINE,212
O-ARM 1000 IMAGING SYSTEM 3RD EDITION,213
AXIOS STENT AND DELIVERY SYSTEM,214
466FXXXX,215
ACTIVA,216
ACTIVA,217
N/A,218
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,219
ACTIVA,220
BRAVO,221
SURESCAN,222
SURESCAN,223
BRAVO,224
ALLEGRETTO WAVE EYE-Q EXCIMER LASER,225
ANIMAS VIBE,226
OPTICROSS,227
PWRD ECH FLEX 45MM 34CM SHAFT,228
HEARTSTART XL+ DEFIBRILLATOR/MONITOR,229
400 MICRON FIBER PROCEDURE KIT,230
MALEM BEDWETTING ALARM,231
MALEM BEDWETTING ALARM,232
BRAVO,233
RESERVOIR 1.8ML MMT-326A,234
FAST-CATH HEMOSTASIS INTRODUCER,235
ACTIVA,236
HEARTSTART XL+ DEFIBRILLATOR/MONITOR,237
"EON MINI IPG, 16-CHANNEL RECHARGEABLE",238
400 MICRON FIBER PROCEDURE KIT,239
ENDO GIA ULTRA,240
LENSX LASER SYSTEM,241
ARROW CVC SET: 3-LUMEN 8.5FR X 16CM,242
ANIMAS VIBE,243
6.5 CANCELLOUS BONE SCREW 16MM,244
INTUITIVE,245
CADD LEGACY CONTINUOUS INFUSION PUMP,246
530G INSULIN PUMP MMT-551NAL,247
SYNCHROMED II,248
RUSCH BRONCH. DOUBLE-LUMEN TUBE-SET,249
OMNIPOD INSULIN PUMP,250
ENDO GIA ULTRA,251
INTERSTIM II,252
UNKNOWN ZIMMER PMI DEVICE,253
BD SAF-T-INTIMA IV CATHETER SAFETY SYSTEM,254
ENDO GIA,255
VERIFY,256
UNKNOWN TRAPEASE VENA CAVA FILTER,257
SYNCHROMED II,258
PUMP MMT-1780KPK 670G PATHWAY BLACK MG,259
UNKNOWN BIOMET ARCOS FEMORAL STEM,260
PROCLAIM 7 ELITE,261
PROCLAIM 7 ELITE,262
SURESCAN,263
SURESCAN,264
ARROW CVC SET: 3-LUMEN 8.5FR X 16CM,265
INTELLIS,266
INTELLIS,267
INTELLIS,268
INTERSTIM II,269
BRAVO,270
AESPIRE VIEW,271
"CERTAIN 4, 5, 6MM(D) IMPLANT DRIVER TIP - LONG",272
HF SENSOR DELIVERY SYSTEM,273
HF SENSOR DELIVERY SYSTEM,274
TRIDENT 0 X3 INSERT 36MM ID,275
WAVELIGHT FS200 FEMTOSECOND LASER,276
FREESTYLE FREEDOM LITE,277
ENDO GIA,278
UNKNOWN INTACT HANDLE,279
ENDO GIA ULTRA,280
PARADIGM REAL-TIME REVEL INSULIN INFUSION PUMP MMT-723NAS,281
KODIAK RECIRCULATING CHILLER,282
BRAVO,283
COR-KNOT,284
KANGAROO,285
QUARTET,286
ARROW CVC SET: 3-LUMEN 8.5FR X 16CM,287
UNKNOWN INTACT CONSOLE,288
TRIDENT 0 X3 INSERT 36MM ID,289
530G INSULIN PUMP MMT-751NAL,290
UNKNOWN TRAPEASE PERMANENT VENA CAVA FILTER,291
INSPIRA SMOOTH SILICONE GEL FILLED BREAST IMPLANT,292
UNK MAMMARY IMPLANT,293
INSPIRA SMOOTH SILICONE GEL FILLED BREAST IMPLANT,294
INSPIRA SMOOTH SILICONE GEL FILLED BREAST IMPLANT,295
UNK MAMMARY IMPLANT,296
"BIOPATCH, UNKNOWN SIZE/PRODUCT ID",297
CADD PUMP MS3,298
AISYS,299
DERMABLADE,300
AUTO SUTURE,301
FREESTYLE PRECISION NEO,302
SURESCAN,303
UNKNOWN UHR BIPOLAR COMPONENT,304
V60 VENTILATOR,305
TRUETRACK,306
AVANCE,307
VERIFY,308
SPRINT QUATTRO,309
HOMECHOICE AUTOMATED PD SET WITH CASSETTE,310
PLEXITRON CONTINU-FLO SOLUTION SETS,311
NI,312
NI,313
NI,314
PLEXITRON CONTINU-FLO SOLUTION SETS,315
NI,316
HEARTSTART MRX,317
ANIMAS VIBE,318
630G INSULIN PUMP MMT-1715K 630G BLACK MG,319
HEARTWARE VENTRICULAR ASSIST SYSTEM-DRIVELINE CABLE,320
FLEXCATH ADVANCE STEERABLE SHEATH,321
AVANCE,322
RUSCH BRONCH. DOUBLE-LUMEN TUBE-SET,323
PRECISION FLOW,324
RINGLOC BI-POLAR 28X46MM,325
PULSE GEN MODEL 103,326
PRIMEADVANCED,327
PRIMEADVANCED,328
PARADIGM REAL-TIME REVEL INSULIN INFUSION PUMP MMT-523LNAS,329
PUMP MMT-1715KM 630G 3ML BLACK MEDI,330
PARADIGM REAL-TIME REVEL INSULIN INFUSION PUMP MMT-723LNAL,331
AMO,332
AMO,333
AMO,334
AMO,335
"HYALURONIC ACID, SYNVISC HYLAN",336
HEART START XL,337
SYNCHROMED II,338
SYNCHROMED II,339
SYNCHROMED II,340
ARROW CVC SET: 3-LUMEN 8.5FR X 16CM,341
TI MATRIXRIB I-PLATE WIDE 2.8MM THICK/11 HOLES - STERILE,342
SYNVISC ONE,343
ANIMAS VIBE,344
530G INSULIN PUMP MMT-751NAL,345
ARROW CVC SET: 3-LUMEN 8.5FR X 16CM,346
DRIVE SHAFT-MINIMUM 520MM LENGTH-FOR USE WITH RIA,347
530G INSULIN PUMP MMT-751LNAP,348
"HIRSCH 12.5"""" TI PECTUS BAR",349
HULKA CLIP,350
ACUVUE,351
S MACHINE,352
S MACHINE,353
HEARTWARE VENTRICULAR ASSIST SYSTEM-PUMP,354
"HIRSCH 12.5"""" TI PECTUS BAR",355
DERMABOND PRINEO 22CM SKIN CLOSURE,356
PARADIGM REAL-TIME REVEL INSULIN INFUSION PUMP MMT-723NAB,357
SYNVISC ONE,358
SYNVISC ONE,359
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,360
REDIGUARD IAB: 8FR 40CC,361
ARROW CVC SET: 3-LUMEN 8.5FR X 16CM,362
2008K2 HEMODIALYSIS SYS. OLC/DIASAFE PLS,363
640G INSULIN PUMP MMT-1712K,364
BRAVO,365
VERIFY,366
HEARTWARE VENTRICULAR ASSIST SYSTEM - CONTROLLER 1.0,367
UNKNOWN TRAPEASE PERMANENT VENA CAVA FILTER,368
RESERVOIR 3ML MMT-332A,369
ARROW CVC SET: 3-LUMEN 8.5FR X 16CM,370
"KIT IMPLANTABLE LEAD, 50CM",371
466P306X,372
PARADIGM REAL-TIME INSULIN INFUSION PUMP MMT-722WWL,373
SJM TRIFECTA VALVE,374
FREEDOM CONSTR HD 36MM T1 -3MM,375
FREEDOM RINGLOC HIP SYSTEM,376
RESTORE SENSOR,377
PARADIGM REAL-TIME REVEL INSULIN INFUSION PUMP MMT-723NAB,378
INTERSTIM,379
HEART START XL,380
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,381
MMT-715 PARADIGM INSULIN PUMP,382
PARADIGM REAL-TIME REVEL INSULIN INFUSION PUMP MMT-723RNAS,383
EDWARDS SAPIEN 3 TRANSCATHETER HEART VALVE,384
CONSTELLATION VISION SYSTEM,385
630G INSULIN PUMP MMT-1715K 630G BLACK MG,386
INTERSTIM II,387
INTERSTIM II,388
"DURATA STS OPTIM ACTIVE FIXATION, DF-4 CONNECTOR",389
EDWARDS COMMANDER DELIVERY SYSTEM,390
UNK CUI GEL,391
PUMP MMT-1780KPK 670G PATHWAY BLACK MG,392
LINOX S 65,393
ENTOVIS DR-T,394
LUMAX 540 VR-T,395
SETROX S 53,396
UNKNOWN SHELL,397
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,398
SENSOR MMT-7020A ENLITE3 5PK US,399
PARADIGM REAL-TIME REVEL INSULIN INFUSION PUMP MMT-523LNAP,400
UNIFY ASSURA ICD,401
ARCTIC SUN 5000,402
DERMABOND PRINEO 22CM SKIN CLOSURE,403
ENDO GIA,404
SYNCHROMED II,405
SYNCHROMED II,406
"FORTIFY VR, U1.6 DF1 ID",407
OMNIPOD INSULIN PUMP,408
LINER,409
SJM MASTERS SERIES VALVE EXPANDED CUFF,410
SJM MASTERS SERIES VALVE EXPANDED CUFF,411
STYLE 68 SALINE FILLED BREAST IMPLANT,412
JUVEDERM VOLLURE XC 2X1 ML,413
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,414
SABER 5MM4CM 90,415
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,416
OMNIPOD INSULIN PUMP,417
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,418
SYNCHROMED II,419
640G INSULIN PUMP MMT-1711K,420
640G INSULIN PUMP MMT-1712K,421
SYNCHROMED II,422
TRILOGY 100,423
TRILOGY 100,424
530G INSULIN PUMP MMT-751NAL,425
530G INSULIN PUMP MMT-751NAS,426
V60 VENTILATOR,427
ULTRA COREGA CREAM MINT FLAVOR,428
OPTIPAC-S 80 REFOB BONE CEMENT,429
BD SAF-T-INTIMA IV CATHETER SAFETY SYSTEM,430
BRAVO,431
640G INSULIN PUMP MMT-1712K,432
PARADIGM REAL-TIME REVEL INSULIN INFUSION PUMP MMT-523RNAP,433
ENDO GIA ULTRA,434
PUMP MMT-1780KPK 670G PATHWAY BLACK MG,435
466P306X,436
SMARTSITE EXTENSION SET,437
HEMOCHRON SIGNATURE ELITE WHOLE BLOOD MICROCOAGULATION SYSTEM,438
STEALTHSTATION S7 SYSTEM,439
BIOMET BONE CEMENT V 1X26G,440
ITREL 3,441
ITREL 3,442
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,443
ARCHITECT I2000SR ANALYZER,444
KANGAROO,445
KANGAROO,446
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,447
T:SLIM G5 SYSTEM,448
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,449
HEARTWARE VENTRICULAR ASSIST SYSTEM-CONTROLLER AC ADAPTER,450
TI TITAMAX IMPLANT (4.1)3.75X9,451
TI DRIVE ACQUA IMPLANT (4.3) 4.3X10,452
CM DRIVE IMPLANT 3.5X8,453
CM DRIVE IMPLANT 3.5X11.5,454
630G INSULIN PUMP MMT-1715K 630G BLACK MG,455
TI TITAMAX IMPLANT (4.1)3.75X9,456
TI TITAMAX EX IMPLANT (4.1)3.75X13,457
TI DRIVE ACQUA IMPLANT (4.3) 4.3X10,458
CM DRIVE IMPLANT 3.5X8,459
WS TITAMAX IMPLANT 5.0X6,460
CM TITAMAX EX IMPLANT 3.5X9,461
TI TITAMAX IMPLANT (4.1)3.75X9,462
CM TITAMAX EX IMPLANT 3.75X13,463
CM TITAMAX EX ACQUA IMPLANT 3.5X9,464
CM TITAMAX EX IMPLANT 4.0X13,465
CM TITAMAX EX ACQUA IMPLANT 3.5X11,466
VELA VENTILATOR,467
ESSURE,468
ESSURE,469
T:SLIM X2 INSULIN PUMP,470
ESSURE,471
ESSURE,472
ESSURE,473
PARADIGM REAL-TIME INSULIN INFUSION PUMP MMT-754CMB,474
ESSURE,475
ESSURE,476
530G INSULIN PUMP MMT-751LNAH,477
SENSOR ENLITE MMT-7008A,478
PUMP MMT-1780KPK 670G PATHWAY BLACK MG,479
530G INSULIN PUMP MMT-551NAS,480
640G INSULIN PUMP MMT-1711K,481
T:SLIM X2 INSULIN PUMP,482
UNK AGC BEARING,483
CM DRIVE ACQUA IMPL TI 4.3X16,484
"CM DRIVE IMPLANT, TITANIUM, 4.3X13 MM",485
"CM DRIVE IMPLANT, TITANIUM, 4.3X13 MM",486
CM TITAMAX EX ACQUA IMPL TI 4.0X17,487
CM TITAMAX EX ACQUA IMPL TI 4.0X17,488
IMPLANTABLE NEUROSTIMULATOR,489
PARADIGM REAL-TIME REVEL INSULIN INFUSION PUMP MMT-723RNAB,490
UNKNOWN ZIMMER FEMORAL HEAD,491
UNKNOWN ZIMMER ACETABULAR CUP,492
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,493
PERSONA CR NARROW FEMORAL CEMENTED,494
UNKNOWN ZIMMER ACETABULAR LINER,495
BD 5ML SYRINGE WITH NEEDLE,496
530G INSULIN PUMP MMT-751NAL,497
UNKNOWN VANGUARD KNEE FEMORAL,498
PARADIGM REAL-TIME REVEL INSULIN INFUSION PUMP MMT-723NAP,499
UNKNOWN VANGUARD KNEE BEARING,500
INTERSTIM II,501
CM TITAMAX EX ACQUA IMPL TI 4.0X17,502
TRILOGY 100,503
UNKNOWN VANGUARD KNEE TIBIAL TRAY,504
640G INSULIN PUMP MMT-1711K,505
VITEK 2 AST-P631 TEST KIT,506
QUADRA ASSURA MP ICD,507
O-ARM O2 IMAGING SYSTEM,508
530G INSULIN PUMP MMT-551LNAB,509
530G INSULIN PUMP MMT-551LNAL,510
PARADIGM REAL-TIME INSULIN INFUSION PUMP MMT-554WWB,511
SYNCHROMED II,512
SYNCHROMED II,513
PARADIGM REAL-TIME REVEL INSULIN INFUSION PUMP MMT-723LNAS,514
640G INSULIN PUMP MMT-1712P 640G 3ML PURPLE MG,515
PARADIGM REAL-TIME INSULIN INFUSION PUMP MMT-522LNAB,516
"ILS 29MM, CURVED",517
640G INSULIN PUMP MMT-1710K,518
IMMULITE 2000 TOXOPLASMA QUANT IGG,519
466P306X,520
COMPREHENSIVE SRS,521
COMPREHENSIVE SRS,522
STYLE 133MV TISSUE EXPANDER,523
PUMP MMT-1780KPK 670G PATHWAY BLACK MG,524
530G INSULIN PUMP MMT-751LNAP,525
SURESCAN,526
SURESCAN,527
PROXIMATE*55MM LINEAR CUTTER,528
ANIMAS VIBE,529
SENSOR ENLITE MMT-7008B,530
PARADIGM REAL-TIME INSULIN INFUSION PUMP MMT-554LWWB,531
FUSION NAVIGATION SYSTEM,532
PARADIGM REAL-TIME REVEL INSULIN INFUSION PUMP MMT-723NAS,533
JUVEDERM VOLUMA WITH LIDOCAINE 1ML,534
MX40 1.4 GHZ SMART HOPPING,535
ARCHITECT C4000 CUVETTE SEGMENT,536
MITRACLIP SYSTEM STEERABLE GUIDE CATHETER,537
466FXXXX,538
SILICONE BREAST IMPLANTS,539
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,540
SURESCAN,541
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,542
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,543
COCR FEMORAL HEAD,544
COCR FEMORAL HEAD,545
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,546
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,547
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,548
SURESCAN,549
SURESCAN,550
MEDFUSION MEDFUSION 3500 SYRINGE PUMP,551
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,552
MEDFUSION MEDFUSION 3500 SYRINGE PUMP,553
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,554
SJM TRIFECTA VALVE,555
ANIMAS VIBE,556
HEARTSTART MRX -EMS DEFIBRILLATOR,557
DEXCOM G4 PLATINUM CONTINUOUS GLUCOSE MONITORING SYSTEM,558
2.7MM/3.5MM VA-LCP PROXIMAL OLECRANON PL 2H/RT/73MM-STER,559
ANIMAS VIBE,560
FREESTYLE LIBRE,561
STYLE 133MV TISSUE EXPANDER WITH SUTURE TAB,562
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,563
STYLE 68 SALINE FILLED BREAST IMPLANT,564
STYLE 68 SALINE FILLED BREAST IMPLANT,565
IFUSE IMPLANT SYSTEM,566
640G INSULIN PUMP MMT-1712K,567
PROCLAIM 7 ELITE,568
ENDO GIA,569
BD INTIMA II CLOSED IV CATHETER SYSTEM,570
ANIMAS VIBE,571
466P306AU,572
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,573
INTERSTIM II,574
ARROW CVC SET: 3-LUMEN 8.5FR X 16CM,575
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,576
640G INSULIN PUMP MMT-1712K,577
640G INSULIN PUMP MMT-1711P,578
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,579
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,580
PSU - ASTRAL,581
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,582
ENDO GIA,583
RESTORE SENSOR,584
"ON-Q PAIN RELIEF SYSTEM WITH SELECT-A-FLOW, 400 ML, 2-14 ML/HR",585
ELECSYS TSH ASSAY,586
ENDO GIA,587
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,588
640G INSULIN PUMP MMT-1712K,589
R SERIES DEFIBRILLATOR,590
HEARTSTART XL+ DEFIBRILLATOR/MONITOR,591
ENDO GIA,592
SYNCHROMED II,593
LCP ONE-THIRD TUBULAR PLATE WITH COLLAR 7 HOLES/81MM,594
STAR,595
KANGAROO,596
A.T.S. 3000 TOURNIQUET W/HOSES AND LOP SENSOR,597
WALLFLEX DUODENAL,598
INTELLIS,599
RX CYTOLOGY BRUSH,600
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,601
530G INSULIN PUMP MMT-751NAS,602
PUMP MMT-1780KPK 670G PATHWAY BLACK MG,603
ULTRASONIC IMAGING CATHETER - CORONARY,604
ENDURITY MRI,605
VELA VENTILATOR,606
PUMP MMT-1715KM 630G 3ML BLACK MEDI,607
PUMP MMT-1780KPK 670G PATHWAY BLACK MG,608
640G INSULIN PUMP MMT-1711K,609
INTELLATIP MIFI OI TEMPERATURE ABLATION CATHETER,610
DEXCOM G4 PLATINUM CONTINUOUS GLUCOSE MONITORING SYSTEM,611
BRAVO,612
DEXCOM G5 MOBILE CONTINUOUS GLUCOSE MONITORING SYSTEM,613
